run,peak_infection,total_abx_days,abx_days_per_baby,selection_events,transmission_R,total_recoveries,cumulative_I_R,scenario,baseline,strategy,prevalence_I_R
1,5.0,313.0,31.3,11.0,104.0,51.0,223.0,Mid_None,Mid,None,0.15704225352112677
2,5.0,511.0,51.1,18.0,30.0,50.0,96.0,Mid_None,Mid,None,0.0676056338028169
3,6.0,349.0,349.0,8.0,100.0,41.0,192.0,Mid_None,Mid,None,0.1352112676056338
4,5.0,467.0,116.75,10.0,48.0,53.0,73.0,Mid_None,Mid,None,0.05140845070422535
5,6.0,336.0,33.6,4.0,106.0,54.0,244.0,Mid_None,Mid,None,0.17183098591549295
6,5.0,348.0,34.8,7.0,103.0,48.0,213.0,Mid_None,Mid,None,0.15
7,5.0,273.0,27.3,6.0,124.0,47.0,245.0,Mid_None,Mid,None,0.17253521126760563
8,5.0,413.0,59.0,12.0,63.0,52.0,115.0,Mid_None,Mid,None,0.08098591549295775
9,5.0,438.0,73.0,15.0,65.0,50.0,168.0,Mid_None,Mid,None,0.11830985915492957
10,5.0,575.0,57.5,16.0,60.0,54.0,157.0,Mid_None,Mid,None,0.11056338028169015
11,5.0,351.0,117.0,8.0,111.0,41.0,215.0,Mid_None,Mid,None,0.15140845070422534
12,9.0,443.0,221.5,11.0,56.0,47.0,157.0,Mid_None,Mid,None,0.11056338028169015
13,5.0,299.0,29.9,5.0,105.0,52.0,171.0,Mid_None,Mid,None,0.12042253521126761
14,5.0,408.0,40.8,11.0,72.0,47.0,181.0,Mid_None,Mid,None,0.12746478873239436
15,8.0,372.0,41.33,12.0,107.0,44.0,223.0,Mid_None,Mid,None,0.15704225352112677
16,4.0,384.0,96.0,9.0,83.0,47.0,112.0,Mid_None,Mid,None,0.07887323943661972
17,6.0,483.0,48.3,13.0,77.0,52.0,166.0,Mid_None,Mid,None,0.11690140845070422
18,5.0,323.0,32.3,6.0,104.0,51.0,226.0,Mid_None,Mid,None,0.1591549295774648
19,6.0,435.0,435.0,10.0,39.0,53.0,97.0,Mid_None,Mid,None,0.06830985915492958
20,5.0,459.0,114.75,11.0,80.0,52.0,176.0,Mid_None,Mid,None,0.12394366197183099
21,4.0,330.0,33.0,8.0,92.0,37.0,169.0,Mid_None,Mid,None,0.11901408450704225
22,6.0,342.0,34.2,8.0,122.0,43.0,296.0,Mid_None,Mid,None,0.2084507042253521
23,5.0,431.0,43.1,10.0,82.0,48.0,202.0,Mid_None,Mid,None,0.14225352112676057
24,5.0,404.0,134.67,14.0,80.0,46.0,192.0,Mid_None,Mid,None,0.1352112676056338
25,6.0,254.0,25.4,4.0,139.0,47.0,302.0,Mid_None,Mid,None,0.21267605633802816
26,5.0,445.0,63.57,12.0,70.0,52.0,94.0,Mid_None,Mid,None,0.06619718309859154
27,4.0,382.0,76.4,11.0,104.0,54.0,182.0,Mid_None,Mid,None,0.12816901408450704
28,5.0,369.0,36.9,8.0,116.0,55.0,258.0,Mid_None,Mid,None,0.18169014084507043
29,5.0,585.0,Inf,16.0,13.0,48.0,61.0,Mid_None,Mid,None,0.04295774647887324
30,7.0,528.0,75.43,11.0,41.0,57.0,55.0,Mid_None,Mid,None,0.03873239436619718
31,4.0,427.0,61.0,12.0,80.0,49.0,152.0,Mid_None,Mid,None,0.10704225352112676
32,5.0,348.0,34.8,5.0,83.0,51.0,194.0,Mid_None,Mid,None,0.13661971830985917
33,5.0,477.0,47.7,12.0,65.0,50.0,139.0,Mid_None,Mid,None,0.09788732394366197
34,5.0,323.0,32.3,5.0,107.0,48.0,188.0,Mid_None,Mid,None,0.1323943661971831
35,6.0,538.0,53.8,22.0,58.0,62.0,170.0,Mid_None,Mid,None,0.11971830985915492
36,5.0,281.0,28.1,6.0,107.0,39.0,181.0,Mid_None,Mid,None,0.12746478873239436
37,5.0,425.0,141.67,14.0,60.0,50.0,117.0,Mid_None,Mid,None,0.0823943661971831
38,5.0,214.0,Inf,2.0,126.0,30.0,189.0,Mid_None,Mid,None,0.13309859154929576
39,6.0,363.0,36.3,9.0,101.0,48.0,232.0,Mid_None,Mid,None,0.16338028169014085
40,5.0,478.0,59.75,10.0,46.0,36.0,88.0,Mid_None,Mid,None,0.061971830985915494
41,4.0,314.0,31.4,8.0,99.0,42.0,195.0,Mid_None,Mid,None,0.13732394366197184
42,5.0,439.0,43.9,6.0,86.0,54.0,173.0,Mid_None,Mid,None,0.12183098591549296
43,6.0,518.0,51.8,19.0,53.0,54.0,126.0,Mid_None,Mid,None,0.08873239436619719
44,5.0,439.0,43.9,21.0,78.0,67.0,176.0,Mid_None,Mid,None,0.12394366197183099
45,6.0,645.0,64.5,15.0,21.0,61.0,91.0,Mid_None,Mid,None,0.06408450704225352
46,5.0,498.0,49.8,16.0,64.0,54.0,152.0,Mid_None,Mid,None,0.10704225352112676
47,6.0,340.0,34.0,5.0,117.0,56.0,230.0,Mid_None,Mid,None,0.1619718309859155
48,4.0,423.0,84.6,9.0,77.0,57.0,132.0,Mid_None,Mid,None,0.09295774647887324
49,5.0,548.0,54.8,18.0,22.0,48.0,101.0,Mid_None,Mid,None,0.07112676056338028
50,5.0,511.0,511.0,16.0,29.0,55.0,37.0,Mid_None,Mid,None,0.026056338028169014
51,6.0,294.0,29.4,3.0,138.0,47.0,295.0,Mid_None,Mid,None,0.20774647887323944
52,5.0,551.0,55.1,11.0,58.0,59.0,116.0,Mid_None,Mid,None,0.08169014084507042
53,5.0,551.0,183.67,13.0,41.0,59.0,73.0,Mid_None,Mid,None,0.05140845070422535
54,4.0,443.0,147.67,17.0,64.0,48.0,112.0,Mid_None,Mid,None,0.07887323943661972
55,6.0,486.0,162.0,13.0,73.0,53.0,121.0,Mid_None,Mid,None,0.0852112676056338
56,4.0,312.0,104.0,4.0,96.0,44.0,183.0,Mid_None,Mid,None,0.1288732394366197
57,5.0,316.0,105.33,7.0,114.0,50.0,222.0,Mid_None,Mid,None,0.1563380281690141
58,4.0,338.0,33.8,9.0,91.0,52.0,169.0,Mid_None,Mid,None,0.11901408450704225
59,5.0,324.0,32.4,8.0,107.0,51.0,242.0,Mid_None,Mid,None,0.1704225352112676
60,5.0,491.0,81.83,16.0,54.0,55.0,134.0,Mid_None,Mid,None,0.09436619718309859
61,5.0,343.0,171.5,11.0,72.0,30.0,153.0,Mid_None,Mid,None,0.10774647887323943
62,7.0,517.0,103.4,17.0,59.0,46.0,87.0,Mid_None,Mid,None,0.06126760563380282
63,6.0,408.0,102.0,13.0,69.0,41.0,152.0,Mid_None,Mid,None,0.10704225352112676
64,4.0,358.0,179.0,11.0,84.0,46.0,150.0,Mid_None,Mid,None,0.1056338028169014
65,5.0,278.0,55.6,4.0,118.0,40.0,213.0,Mid_None,Mid,None,0.15
66,4.0,587.0,58.7,17.0,29.0,61.0,60.0,Mid_None,Mid,None,0.04225352112676056
67,6.0,349.0,69.8,11.0,88.0,42.0,213.0,Mid_None,Mid,None,0.15
68,7.0,293.0,36.62,5.0,120.0,52.0,265.0,Mid_None,Mid,None,0.18661971830985916
69,7.0,362.0,36.2,6.0,115.0,55.0,221.0,Mid_None,Mid,None,0.1556338028169014
70,6.0,541.0,54.1,16.0,49.0,48.0,131.0,Mid_None,Mid,None,0.09225352112676057
71,4.0,239.0,Inf,4.0,100.0,33.0,203.0,Mid_None,Mid,None,0.14295774647887324
72,6.0,527.0,131.75,24.0,47.0,46.0,134.0,Mid_None,Mid,None,0.09436619718309859
73,5.0,351.0,35.1,4.0,100.0,53.0,229.0,Mid_None,Mid,None,0.16126760563380282
74,5.0,661.0,73.44,16.0,28.0,55.0,55.0,Mid_None,Mid,None,0.03873239436619718
75,5.0,307.0,61.4,12.0,114.0,42.0,244.0,Mid_None,Mid,None,0.17183098591549295
76,5.0,382.0,382.0,7.0,53.0,51.0,107.0,Mid_None,Mid,None,0.07535211267605633
77,5.0,329.0,109.67,4.0,99.0,49.0,156.0,Mid_None,Mid,None,0.10985915492957747
78,5.0,385.0,38.5,13.0,83.0,52.0,169.0,Mid_None,Mid,None,0.11901408450704225
79,5.0,225.0,32.14,3.0,139.0,43.0,249.0,Mid_None,Mid,None,0.17535211267605633
80,5.0,365.0,36.5,8.0,102.0,42.0,174.0,Mid_None,Mid,None,0.12253521126760564
81,5.0,456.0,45.6,15.0,52.0,47.0,111.0,Mid_None,Mid,None,0.07816901408450705
82,4.0,529.0,529.0,9.0,34.0,47.0,43.0,Mid_None,Mid,None,0.03028169014084507
83,4.0,389.0,129.67,13.0,82.0,36.0,210.0,Mid_None,Mid,None,0.14788732394366197
84,5.0,360.0,90.0,10.0,99.0,54.0,203.0,Mid_None,Mid,None,0.14295774647887324
85,5.0,337.0,84.25,8.0,109.0,52.0,236.0,Mid_None,Mid,None,0.16619718309859155
86,5.0,311.0,31.1,2.0,114.0,47.0,181.0,Mid_None,Mid,None,0.12746478873239436
87,4.0,334.0,33.4,11.0,105.0,46.0,193.0,Mid_None,Mid,None,0.1359154929577465
88,5.0,419.0,83.8,12.0,69.0,47.0,104.0,Mid_None,Mid,None,0.07323943661971831
89,6.0,377.0,37.7,6.0,95.0,46.0,192.0,Mid_None,Mid,None,0.1352112676056338
90,4.0,493.0,246.5,16.0,44.0,51.0,101.0,Mid_None,Mid,None,0.07112676056338028
91,5.0,326.0,36.22,7.0,99.0,43.0,227.0,Mid_None,Mid,None,0.15985915492957747
92,4.0,443.0,44.3,11.0,58.0,45.0,91.0,Mid_None,Mid,None,0.06408450704225352
93,5.0,276.0,27.6,3.0,117.0,51.0,192.0,Mid_None,Mid,None,0.1352112676056338
94,7.0,467.0,467.0,12.0,49.0,55.0,107.0,Mid_None,Mid,None,0.07535211267605633
95,6.0,339.0,37.67,8.0,115.0,47.0,284.0,Mid_None,Mid,None,0.2
96,5.0,557.0,55.7,13.0,41.0,57.0,78.0,Mid_None,Mid,None,0.054929577464788736
97,5.0,370.0,37.0,10.0,96.0,46.0,194.0,Mid_None,Mid,None,0.13661971830985917
98,6.0,441.0,44.1,12.0,68.0,52.0,188.0,Mid_None,Mid,None,0.1323943661971831
99,5.0,407.0,40.7,10.0,97.0,53.0,235.0,Mid_None,Mid,None,0.16549295774647887
100,7.0,396.0,39.6,9.0,107.0,47.0,266.0,Mid_None,Mid,None,0.18732394366197183
1,5.0,357.0,35.7,12.0,87.0,55.0,254.0,Mid_B,Mid,B,0.17887323943661973
