run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
1,3.0,5.0,6.0,98.0,201.0
2,3.0,4.0,9.0,89.0,139.0
3,3.0,6.0,5.0,95.0,186.0
4,3.0,5.0,12.0,64.0,144.0
5,3.0,5.0,9.0,98.0,189.0
6,3.0,4.0,11.0,56.0,103.0
7,3.0,6.0,12.0,75.0,162.0
8,3.0,5.0,10.0,76.0,154.0
9,3.0,5.0,9.0,62.0,153.0
10,3.0,5.0,12.0,65.0,118.0
11,3.0,5.0,11.0,40.0,66.0
12,3.0,6.0,3.0,116.0,238.0
13,3.0,5.0,18.0,24.0,84.0
14,3.0,5.0,10.0,39.0,85.0
15,3.0,4.0,13.0,26.0,45.0
16,3.0,6.0,9.0,105.0,190.0
17,3.0,5.0,11.0,43.0,85.0
18,3.0,5.0,3.0,107.0,265.0
19,3.0,4.0,8.0,65.0,123.0
20,3.0,5.0,12.0,89.0,167.0
21,3.0,5.0,11.0,66.0,161.0
22,3.0,5.0,8.0,78.0,167.0
23,3.0,6.0,15.0,64.0,144.0
24,3.0,5.0,2.0,129.0,263.0
25,3.0,7.0,3.0,128.0,254.0
26,3.0,7.0,4.0,127.0,310.0
27,3.0,4.0,11.0,84.0,141.0
28,3.0,5.0,1.0,121.0,217.0
29,3.0,5.0,7.0,93.0,172.0
30,3.0,5.0,12.0,13.0,26.0
31,3.0,5.0,8.0,111.0,212.0
32,3.0,5.0,8.0,73.0,130.0
33,3.0,4.0,5.0,84.0,159.0
34,3.0,6.0,13.0,43.0,114.0
35,3.0,4.0,12.0,58.0,152.0
36,3.0,3.0,17.0,19.0,26.0
37,3.0,6.0,11.0,57.0,113.0
38,3.0,4.0,10.0,96.0,220.0
39,3.0,7.0,14.0,40.0,112.0
40,3.0,7.0,7.0,92.0,165.0
41,3.0,6.0,7.0,97.0,179.0
42,3.0,5.0,9.0,93.0,217.0
43,3.0,8.0,9.0,108.0,219.0
44,3.0,4.0,4.0,96.0,143.0
45,3.0,5.0,11.0,48.0,93.0
46,3.0,6.0,9.0,28.0,66.0
