run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
1,0.1,5.0,9.0,82.0,167.0
2,0.1,5.0,16.0,61.0,138.0
3,0.1,4.0,13.0,54.0,110.0
4,0.1,6.0,11.0,80.0,204.0
5,0.1,5.0,13.0,35.0,66.0
6,0.1,5.0,8.0,68.0,139.0
7,0.1,5.0,5.0,102.0,256.0
8,0.1,5.0,11.0,71.0,163.0
9,0.1,6.0,5.0,122.0,279.0
10,0.1,5.0,2.0,117.0,234.0
11,0.1,6.0,10.0,100.0,203.0
12,0.1,5.0,15.0,50.0,72.0
13,0.1,5.0,11.0,88.0,155.0
14,0.1,5.0,11.0,106.0,202.0
15,0.1,5.0,4.0,116.0,196.0
16,0.1,6.0,10.0,90.0,178.0
17,0.1,5.0,9.0,120.0,215.0
18,0.1,6.0,9.0,76.0,130.0
19,0.1,6.0,10.0,71.0,146.0
20,0.1,5.0,8.0,70.0,122.0
21,0.1,6.0,15.0,64.0,123.0
22,0.1,5.0,13.0,66.0,167.0
23,0.1,5.0,9.0,78.0,166.0
24,0.1,5.0,22.0,15.0,66.0
25,0.1,6.0,14.0,62.0,143.0
26,0.1,5.0,12.0,89.0,154.0
27,0.1,5.0,14.0,28.0,26.0
28,0.1,6.0,8.0,89.0,163.0
29,0.1,6.0,14.0,55.0,92.0
30,0.1,5.0,13.0,53.0,81.0
31,0.1,5.0,6.0,122.0,206.0
32,0.1,4.0,2.0,124.0,210.0
33,0.1,5.0,11.0,49.0,111.0
34,0.1,4.0,15.0,66.0,141.0
35,0.1,5.0,11.0,40.0,70.0
36,0.1,6.0,10.0,76.0,201.0
37,0.1,6.0,11.0,92.0,208.0
38,0.1,5.0,8.0,102.0,215.0
39,0.1,6.0,8.0,87.0,246.0
40,0.1,5.0,11.0,75.0,168.0
41,0.1,5.0,6.0,133.0,238.0
42,0.1,6.0,20.0,48.0,124.0
43,0.1,4.0,4.0,88.0,153.0
44,0.1,4.0,15.0,34.0,60.0
45,0.1,7.0,12.0,44.0,111.0
46,0.1,5.0,15.0,6.0,26.0
47,0.1,6.0,12.0,88.0,177.0
48,0.1,5.0,7.0,128.0,213.0
49,0.1,6.0,13.0,51.0,94.0
50,0.1,5.0,10.0,105.0,141.0
51,0.1,5.0,13.0,22.0,44.0
52,0.1,4.0,6.0,88.0,134.0
53,0.1,4.0,6.0,124.0,218.0
54,0.1,5.0,8.0,89.0,172.0
55,0.1,5.0,5.0,75.0,102.0
56,0.1,5.0,7.0,95.0,151.0
57,0.1,6.0,5.0,110.0,212.0
58,0.1,4.0,9.0,84.0,184.0
59,0.1,5.0,4.0,124.0,160.0
60,0.1,6.0,13.0,103.0,217.0
61,0.1,6.0,12.0,88.0,187.0
62,0.1,5.0,11.0,25.0,16.0
63,0.1,5.0,12.0,58.0,150.0
64,0.1,4.0,11.0,37.0,109.0
65,0.1,5.0,15.0,45.0,52.0
66,0.1,4.0,4.0,123.0,149.0
67,0.1,6.0,20.0,47.0,120.0
68,0.1,5.0,8.0,89.0,210.0
69,0.1,5.0,3.0,136.0,202.0
70,0.1,6.0,8.0,96.0,193.0
71,0.1,4.0,15.0,66.0,111.0
72,0.1,5.0,14.0,55.0,145.0
73,0.1,5.0,11.0,85.0,164.0
74,0.1,4.0,9.0,81.0,142.0
75,0.1,5.0,13.0,53.0,121.0
76,0.1,5.0,13.0,38.0,58.0
77,0.1,4.0,10.0,38.0,57.0
78,0.1,5.0,10.0,60.0,135.0
79,0.1,6.0,16.0,53.0,113.0
80,0.1,6.0,19.0,75.0,179.0
81,0.1,5.0,9.0,94.0,157.0
82,0.1,7.0,7.0,109.0,213.0
83,0.1,5.0,8.0,106.0,299.0
84,0.1,6.0,9.0,70.0,151.0
85,0.1,5.0,18.0,40.0,139.0
86,0.1,5.0,17.0,34.0,57.0
87,0.1,5.0,12.0,69.0,145.0
88,0.1,5.0,11.0,63.0,165.0
89,0.1,6.0,5.0,126.0,274.0
90,0.1,5.0,12.0,69.0,124.0
91,0.1,5.0,11.0,51.0,102.0
92,0.1,5.0,9.0,102.0,250.0
93,0.1,8.0,11.0,93.0,254.0
94,0.1,6.0,5.0,78.0,187.0
95,0.1,6.0,9.0,129.0,198.0
96,0.1,4.0,9.0,82.0,171.0
97,0.1,5.0,10.0,81.0,167.0
98,0.1,5.0,6.0,98.0,235.0
99,0.1,5.0,11.0,110.0,156.0
100,0.1,4.0,10.0,10.0,25.0
1,0.3,4.0,17.0,13.0,34.0
2,0.3,4.0,2.0,101.0,171.0
3,0.3,4.0,6.0,126.0,187.0
4,0.3,6.0,13.0,109.0,298.0
5,0.3,6.0,7.0,60.0,174.0
6,0.3,4.0,13.0,30.0,93.0
7,0.3,5.0,12.0,85.0,151.0
8,0.3,4.0,11.0,46.0,91.0
9,0.3,7.0,11.0,101.0,212.0
10,0.3,6.0,6.0,116.0,266.0
11,0.3,6.0,15.0,55.0,98.0
12,0.3,5.0,7.0,75.0,123.0
13,0.3,4.0,11.0,58.0,122.0
14,0.3,7.0,7.0,120.0,272.0
15,0.3,6.0,10.0,119.0,252.0
16,0.3,5.0,7.0,114.0,225.0
17,0.3,5.0,16.0,61.0,123.0
18,0.3,6.0,6.0,111.0,221.0
19,0.3,5.0,8.0,119.0,160.0
20,0.3,6.0,12.0,55.0,118.0
21,0.3,7.0,8.0,83.0,150.0
22,0.3,4.0,15.0,49.0,121.0
23,0.3,6.0,5.0,105.0,227.0
24,0.3,6.0,5.0,130.0,227.0
25,0.3,5.0,7.0,101.0,233.0
26,0.3,5.0,4.0,113.0,234.0
27,0.3,6.0,14.0,80.0,130.0
28,0.3,6.0,17.0,23.0,40.0
29,0.3,6.0,6.0,116.0,256.0
30,0.3,4.0,9.0,50.0,96.0
31,0.3,4.0,14.0,26.0,74.0
32,0.3,5.0,5.0,92.0,182.0
33,0.3,6.0,5.0,114.0,228.0
34,0.3,6.0,5.0,131.0,290.0
35,0.3,6.0,13.0,81.0,236.0
36,0.3,5.0,6.0,102.0,197.0
37,0.3,6.0,10.0,48.0,122.0
38,0.3,4.0,16.0,74.0,88.0
39,0.3,4.0,10.0,79.0,184.0
40,0.3,5.0,12.0,64.0,92.0
41,0.3,4.0,20.0,55.0,105.0
42,0.3,4.0,8.0,113.0,185.0
43,0.3,4.0,12.0,92.0,129.0
44,0.3,6.0,5.0,86.0,152.0
45,0.3,4.0,12.0,71.0,179.0
46,0.3,5.0,8.0,102.0,212.0
47,0.3,5.0,7.0,116.0,210.0
48,0.3,6.0,15.0,79.0,176.0
49,0.3,5.0,9.0,108.0,206.0
50,0.3,6.0,5.0,128.0,279.0
51,0.3,4.0,12.0,49.0,74.0
52,0.3,6.0,7.0,89.0,140.0
53,0.3,4.0,9.0,48.0,103.0
54,0.3,5.0,13.0,50.0,110.0
55,0.3,5.0,8.0,36.0,52.0
56,0.3,5.0,7.0,111.0,216.0
57,0.3,5.0,6.0,102.0,219.0
58,0.3,5.0,11.0,44.0,92.0
59,0.3,4.0,17.0,33.0,68.0
60,0.3,5.0,8.0,97.0,234.0
61,0.3,6.0,9.0,86.0,186.0
62,0.3,5.0,20.0,23.0,77.0
63,0.3,6.0,11.0,82.0,239.0
64,0.3,4.0,9.0,77.0,134.0
65,0.3,5.0,9.0,92.0,185.0
