run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
1,0.2,6.0,16.0,84.0,155.0
2,0.2,7.0,5.0,132.0,283.0
3,0.2,6.0,6.0,96.0,199.0
4,0.2,5.0,14.0,92.0,219.0
5,0.2,5.0,9.0,106.0,169.0
6,0.2,6.0,7.0,120.0,241.0
7,0.2,5.0,9.0,115.0,169.0
8,0.2,5.0,4.0,83.0,205.0
9,0.2,4.0,16.0,49.0,128.0
10,0.2,6.0,6.0,75.0,119.0
11,0.2,6.0,11.0,70.0,217.0
12,0.2,4.0,10.0,70.0,105.0
13,0.2,6.0,11.0,79.0,140.0
14,0.2,5.0,11.0,100.0,175.0
15,0.2,5.0,5.0,107.0,198.0
16,0.2,4.0,13.0,25.0,41.0
17,0.2,4.0,20.0,42.0,98.0
18,0.2,6.0,9.0,103.0,203.0
19,0.2,7.0,11.0,88.0,230.0
20,0.2,4.0,7.0,122.0,201.0
21,0.2,5.0,12.0,86.0,149.0
22,0.2,6.0,7.0,102.0,205.0
23,0.2,6.0,4.0,123.0,228.0
24,0.2,3.0,15.0,44.0,89.0
25,0.2,4.0,8.0,100.0,143.0
26,0.2,5.0,14.0,93.0,198.0
27,0.2,5.0,7.0,114.0,219.0
28,0.2,5.0,13.0,62.0,139.0
29,0.2,6.0,8.0,129.0,228.0
30,0.2,5.0,8.0,80.0,164.0
31,0.2,5.0,5.0,118.0,193.0
32,0.2,5.0,10.0,103.0,263.0
33,0.2,6.0,7.0,99.0,181.0
34,0.2,5.0,10.0,107.0,289.0
35,0.2,6.0,13.0,48.0,111.0
36,0.2,4.0,8.0,85.0,144.0
37,0.2,5.0,11.0,96.0,171.0
38,0.2,5.0,11.0,96.0,162.0
39,0.2,6.0,9.0,90.0,220.0
40,0.2,5.0,6.0,92.0,207.0
41,0.2,5.0,9.0,112.0,175.0
42,0.2,4.0,6.0,85.0,124.0
43,0.2,5.0,13.0,73.0,167.0
44,0.2,5.0,7.0,83.0,188.0
45,0.2,5.0,21.0,31.0,83.0
46,0.2,6.0,4.0,111.0,299.0
47,0.2,5.0,13.0,97.0,215.0
48,0.2,4.0,10.0,68.0,143.0
49,0.2,6.0,11.0,63.0,110.0
50,0.2,4.0,10.0,104.0,180.0
51,0.2,5.0,7.0,99.0,211.0
52,0.2,6.0,15.0,34.0,82.0
53,0.2,7.0,14.0,82.0,147.0
54,0.2,4.0,12.0,48.0,85.0
55,0.2,5.0,11.0,84.0,197.0
56,0.2,6.0,14.0,84.0,191.0
57,0.2,5.0,12.0,78.0,200.0
58,0.2,7.0,9.0,95.0,245.0
59,0.2,5.0,10.0,101.0,203.0
60,0.2,5.0,13.0,59.0,130.0
61,0.2,6.0,10.0,77.0,166.0
62,0.2,7.0,21.0,22.0,104.0
63,0.2,6.0,16.0,86.0,169.0
64,0.2,5.0,15.0,78.0,194.0
65,0.2,4.0,18.0,39.0,48.0
66,0.2,5.0,6.0,106.0,180.0
67,0.2,6.0,9.0,57.0,153.0
68,0.2,5.0,7.0,97.0,217.0
69,0.2,4.0,12.0,56.0,73.0
70,0.2,6.0,2.0,139.0,196.0
71,0.2,5.0,5.0,118.0,243.0
72,0.2,6.0,5.0,90.0,198.0
73,0.2,6.0,14.0,47.0,94.0
74,0.2,5.0,13.0,71.0,135.0
75,0.2,3.0,19.0,7.0,36.0
76,0.2,5.0,13.0,85.0,169.0
77,0.2,5.0,12.0,59.0,111.0
78,0.2,5.0,18.0,63.0,154.0
79,0.2,5.0,17.0,56.0,106.0
80,0.2,6.0,9.0,88.0,192.0
81,0.2,6.0,5.0,91.0,222.0
82,0.2,7.0,4.0,124.0,250.0
83,0.2,4.0,13.0,80.0,118.0
84,0.2,6.0,12.0,96.0,211.0
85,0.2,5.0,13.0,73.0,118.0
86,0.2,5.0,7.0,52.0,133.0
87,0.2,4.0,11.0,95.0,117.0
88,0.2,4.0,15.0,75.0,179.0
89,0.2,5.0,6.0,103.0,198.0
90,0.2,5.0,15.0,54.0,104.0
91,0.2,7.0,8.0,107.0,302.0
92,0.2,6.0,10.0,122.0,304.0
93,0.2,5.0,14.0,38.0,103.0
94,0.2,6.0,8.0,97.0,145.0
95,0.2,4.0,6.0,118.0,200.0
96,0.2,5.0,6.0,88.0,173.0
97,0.2,5.0,10.0,50.0,123.0
98,0.2,4.0,12.0,72.0,138.0
99,0.2,5.0,9.0,81.0,180.0
100,0.2,6.0,7.0,119.0,196.0
1,0.4,5.0,13.0,82.0,216.0
2,0.4,5.0,10.0,95.0,191.0
3,0.4,6.0,5.0,99.0,151.0
4,0.4,5.0,3.0,139.0,279.0
5,0.4,5.0,12.0,34.0,78.0
6,0.4,5.0,15.0,26.0,64.0
7,0.4,5.0,7.0,53.0,101.0
8,0.4,5.0,4.0,72.0,118.0
9,0.4,5.0,19.0,60.0,147.0
10,0.4,6.0,10.0,89.0,182.0
11,0.4,5.0,6.0,94.0,293.0
12,0.4,5.0,13.0,68.0,152.0
13,0.4,5.0,6.0,100.0,180.0
14,0.4,6.0,3.0,133.0,267.0
15,0.4,7.0,3.0,95.0,192.0
16,0.4,5.0,8.0,76.0,168.0
17,0.4,6.0,11.0,90.0,190.0
18,0.4,4.0,8.0,93.0,143.0
19,0.4,5.0,5.0,82.0,159.0
20,0.4,5.0,14.0,93.0,179.0
21,0.4,6.0,14.0,79.0,164.0
22,0.4,5.0,6.0,110.0,243.0
23,0.4,4.0,10.0,27.0,69.0
